id,special_feature
b431d451-2341-11ee-a94f-3c9c0f728f90,Dual Bluetooth Audio
b431d452-2341-11ee-b640-3c9c0f728f90,IR Blaster
b431d453-2341-11ee-8d29-3c9c0f728f90,IP 53 Certified
b431d454-2341-11ee-a868-3c9c0f728f90,33W Fast Charger in box
b431d455-2341-11ee-a590-3c9c0f728f90,Premium glass body design with Gorilla glass 5 on front and back
b431d456-2341-11ee-adee-3c9c0f728f90,Dual Stereo Speakers with Dolby Atmos support
b431d457-2341-11ee-ba57-3c9c0f728f90,Dual SIM
b431d458-2341-11ee-a5b2-3c9c0f728f90,Front Camera
b431d459-2341-11ee-9253-3c9c0f728f90,Dual_Sim
b431d45a-2341-11ee-94ea-3c9c0f728f90,Camera
b431d45b-2341-11ee-90ee-3c9c0f728f90,Fast Charging
b431d45c-2341-11ee-8f22-3c9c0f728f90,Fast Charging Support
b431d45d-2341-11ee-a94b-3c9c0f728f90,Fingerprint Sensor
b431d45e-2341-11ee-a743-3c9c0f728f90,Smartphone
b431d45f-2341-11ee-adc3-3c9c0f728f90,Infrared
b431d460-2341-11ee-afa3-3c9c0f728f90,Accelerometer
b431d461-2341-11ee-8b45-3c9c0f728f90,Ambient light sensor
b431d462-2341-11ee-8eb1-3c9c0f728f90,Gyroscope
b431d463-2341-11ee-ab28-3c9c0f728f90,GPS
b431d464-2341-11ee-8925-3c9c0f728f90,Video Player
b431d465-2341-11ee-aa8a-3c9c0f728f90,Music Player
b431d466-2341-11ee-8b66-3c9c0f728f90,Proximity sensor
b431d467-2341-11ee-92e7-3c9c0f728f90,Light sensor
b431d468-2341-11ee-a18c-3c9c0f728f90,Acceleration sensor
b431d469-2341-11ee-b9a1-3c9c0f728f90,Other sensors
b431d46a-2341-11ee-8b76-3c9c0f728f90,Magnetic induction
b431d46b-2341-11ee-bd95-3c9c0f728f90,Fingerprint
b431d46c-2341-11ee-9dc1-3c9c0f728f90,Proximity Sensor
b431d46d-2341-11ee-932b-3c9c0f728f90,Serial_number
b431d46e-2341-11ee-aa77-3c9c0f728f90,Dual Camera
b431d46f-2341-11ee-8842-3c9c0f728f90,Rear Camera
b431d470-2341-11ee-955e-3c9c0f728f90,LED Flash
b431d471-2341-11ee-87d1-3c9c0f728f90,Proximity
b431d472-2341-11ee-913a-3c9c0f728f90,Video PlayerFingerprint
b431d473-2341-11ee-b8f9-3c9c0f728f90,Samsung Pay Mini
b431d474-2341-11ee-90ec-3c9c0f728f90,AltZ Life
b431d475-2341-11ee-9699-3c9c0f728f90, Quick Switch and Content Suggestions
b431d476-2341-11ee-bdfe-3c9c0f728f90,Fingerprint sensor
b431d477-2341-11ee-8406-3c9c0f728f90,Gyro sensor
b431d478-2341-11ee-a218-3c9c0f728f90,ECompass
b431d479-2341-11ee-bc77-3c9c0f728f90,Nightscape
b431d47a-2341-11ee-b57c-3c9c0f728f90,Automated AI Photo Enhancer
b431d47b-2341-11ee-97a6-3c9c0f728f90,Portrait mode
b431d47c-2341-11ee-a326-3c9c0f728f90,HDR
b431d47d-2341-11ee-8268-3c9c0f728f90,Screen Flash
b431d47e-2341-11ee-8e76-3c9c0f728f90,face retouching
b431d47f-2341-11ee-aad8-3c9c0f728f90,Magnetic Induction sensor
b431d480-2341-11ee-afd9-3c9c0f728f90,RGB Light sensor
b431d481-2341-11ee-a218-3c9c0f728f90,Hall sensor
b431d482-2341-11ee-9f3f-3c9c0f728f90,Video PlayerAccelerometer
b431d483-2341-11ee-889b-3c9c0f728f90,Virtual Proximity Sensing
b431d484-2341-11ee-8b24-3c9c0f728f90,Geomagnetic sensor
b431d485-2341-11ee-822a-3c9c0f728f90,USB
b431d486-2341-11ee-a505-3c9c0f728f90,Primary Camera
b431d487-2341-11ee-8721-3c9c0f728f90,Latest Android 11
b431d488-2341-11ee-b987-3c9c0f728f90,Dual Front Flash
b431d489-2341-11ee-9396-3c9c0f728f90,App Twin
b431d48a-2341-11ee-8abd-3c9c0f728f90,Expandable Memory
b431d48b-2341-11ee-b4a5-3c9c0f728f90,LTE
b431d48c-2341-11ee-97a4-3c9c0f728f90,Reading Mode
b431d48d-2341-11ee-bd3a-3c9c0f728f90,Night Mode
b431d48e-2341-11ee-941b-3c9c0f728f90,Vibrant colour
b431d48f-2341-11ee-8bd2-3c9c0f728f90,Gravity sensor
b431d490-2341-11ee-ae02-3c9c0f728f90,Supports raise to wake and Breeno Feed pedometer
b431d491-2341-11ee-9a83-3c9c0f728f90,Distance sensor
b431d492-2341-11ee-994d-3c9c0f728f90,Pedometer
b431d493-2341-11ee-9da3-3c9c0f728f90,Physical gyroscope
b431d494-2341-11ee-9181-3c9c0f728f90,Electronic compass
b431d495-2341-11ee-ba24-3c9c0f728f90,Sensor core
b431d496-2341-11ee-929a-3c9c0f728f90,Gamer mode
b431d497-2341-11ee-993d-3c9c0f728f90,FM Radio
b431d498-2341-11ee-9f4c-3c9c0f728f90,Triple Rear Camera
b431d499-2341-11ee-9938-3c9c0f728f90,Dimensions
b431d49a-2341-11ee-a0cb-3c9c0f728f90, 20
b431d49b-2341-11ee-af44-3c9c0f728f90,9 aspect ratio
b431d49c-2341-11ee-aa91-3c9c0f728f90,Corning Gorilla Glass 3
b431d49d-2341-11ee-9a93-3c9c0f728f90,Dual Stereo Speakers for immersive audio experience
b431d49e-2341-11ee-8dca-3c9c0f728f90,The display is protected by Corning Gorilla Glass 3
b431d49f-2341-11ee-956f-3c9c0f728f90,Dedicated Micro SD Slot
b431d4a0-2341-11ee-a877-3c9c0f728f90,Magnetic Induction Sensor
b431d4a1-2341-11ee-9148-3c9c0f728f90,Light Sensor
b431d4a2-2341-11ee-b05e-3c9c0f728f90,The display is protected by Corning Gorilla Glass 5
b431d4a3-2341-11ee-91c7-3c9c0f728f90,IP 52 Certified
b431d4a4-2341-11ee-aab0-3c9c0f728f90,Hall Sensor
b431d4a5-2341-11ee-8ab3-3c9c0f728f90,Geomagnetic Sensor
b431d4a6-2341-11ee-8aa1-3c9c0f728f90,Gyro Sensor
b431d4a7-2341-11ee-b481-3c9c0f728f90,Fingerprint Scanner
b431d4a8-2341-11ee-b011-3c9c0f728f90,Hybrid Sim Slot
b431d4a9-2341-11ee-9063-3c9c0f728f90,color temperature sensor
b431d4aa-2341-11ee-a8ed-3c9c0f728f90,Dual sim
b431d4ab-2341-11ee-a785-3c9c0f728f90,Sensor Core
b431d4ac-2341-11ee-9ff9-3c9c0f728f90,Electronic Compass
b431d4ad-2341-11ee-bf59-3c9c0f728f90,128
b431d4ae-2341-11ee-bd25-3c9c0f728f90,Ambient Light sensor
b431d4af-2341-11ee-9bac-3c9c0f728f90,Bluetooth Enabled
b431d4b0-2341-11ee-8619-3c9c0f728f90,Basic Phone
b431d4b1-2341-11ee-8cc8-3c9c0f728f90,OTG
b431d4b2-2341-11ee-8c3a-3c9c0f728f90,Internet
b431d4b3-2341-11ee-9437-3c9c0f728f90,Magnetic induction sensor
b431d4b4-2341-11ee-b6de-3c9c0f728f90,Bigger Battery
b431d4b5-2341-11ee-90c0-3c9c0f728f90,Face Unlock
b431d4b6-2341-11ee-968c-3c9c0f728f90,Virtual Light Sensing
b431d4b7-2341-11ee-8864-3c9c0f728f90,Ambient Light Sensor
b431d4b8-2341-11ee-9437-3c9c0f728f90,Vibration motor
b431d4b9-2341-11ee-bb63-3c9c0f728f90,Touchscreen
b431d4ba-2341-11ee-9536-3c9c0f728f90,Dual Sim
b431d4bb-2341-11ee-8015-3c9c0f728f90,Front facing camera
b431d4bc-2341-11ee-b1fa-3c9c0f728f90,Audio Share
b431d4bd-2341-11ee-b0e4-3c9c0f728f90,Dark Theme
b431d4be-2341-11ee-9924-3c9c0f728f90,Social Turbo
b431d4bf-2341-11ee-9996-3c9c0f728f90,big battery
b431d4c0-2341-11ee-9481-3c9c0f728f90,480nits brightness
b431d4c1-2341-11ee-8e2c-3c9c0f728f90,Expandable_Memory
b431d4c2-2341-11ee-a221-3c9c0f728f90,Dual nano SIM
b431d4c3-2341-11ee-8edf-3c9c0f728f90,SIM
b431d4c4-2341-11ee-bca3-3c9c0f728f90,Dolby Atmos support for surround sound
b431d4c5-2341-11ee-b0ec-3c9c0f728f90,Dual messenger support
b431d4c6-2341-11ee-9988-3c9c0f728f90,Scene optimizer
b431d4c7-2341-11ee-9572-3c9c0f728f90,Night mode
b431d4c8-2341-11ee-a77d-3c9c0f728f90,Hyperlapse
b431d4c9-2341-11ee-8cea-3c9c0f728f90,Slow motion
b431d4ca-2341-11ee-80e6-3c9c0f728f90,Intelligent Flaw detection
b431d4cb-2341-11ee-8b67-3c9c0f728f90,Video Calling
b431d4cc-2341-11ee-a851-3c9c0f728f90,Octa Core Processor
b431d4cd-2341-11ee-9ff5-3c9c0f728f90,Dual Band
b431d4ce-2341-11ee-8b1c-3c9c0f728f90,Side fingerprint
b431d4cf-2341-11ee-a71b-3c9c0f728f90,Bluetooth Tethering
b431d4d0-2341-11ee-aa1d-3c9c0f728f90,Radio
b431d4d1-2341-11ee-b34f-3c9c0f728f90,Flashlight
b431d4d2-2341-11ee-a36b-3c9c0f728f90,Wifi
b431d4d3-2341-11ee-8c99-3c9c0f728f90,Wireless Charging
b431d4d4-2341-11ee-a95c-3c9c0f728f90,Water Resistant
b431d4d5-2341-11ee-bd72-3c9c0f728f90,ESIM Compatible
b431d4d6-2341-11ee-a409-3c9c0f728f90,Titan M Security Module
b431d4d7-2341-11ee-9690-3c9c0f728f90,Google Cast
b431d4d8-2341-11ee-a82b-3c9c0f728f90,Adaptive Battery
b431d4d9-2341-11ee-a4d8-3c9c0f728f90,CAT5 75 Mbps Upload
b431d4da-2341-11ee-867c-3c9c0f728f90,AR Core
b431d4db-2341-11ee-a6fe-3c9c0f728f90,Google Photos
b431d4dc-2341-11ee-bf1c-3c9c0f728f90,3000 mAh Battery
b431d4dd-2341-11ee-9404-3c9c0f728f90,lassy design
b431d4de-2341-11ee-957f-3c9c0f728f90,all together in one phone for you
b431d4df-2341-11ee-b50c-3c9c0f728f90,256
b431d4e0-2341-11ee-b871-3c9c0f728f90,Bluetooth
b431d4e1-2341-11ee-b7f7-3c9c0f728f90,20
b431d4e2-2341-11ee-b36d-3c9c0f728f90,Battery power rating
b431d4e3-2341-11ee-99f2-3c9c0f728f90, 6000 mAh
b431d4e4-2341-11ee-a520-3c9c0f728f90,X-Axis Haptic Motor
b431d4e5-2341-11ee-ab52-3c9c0f728f90,Wi-Fi 6
b431d4e6-2341-11ee-9d89-3c9c0f728f90,50% in 19 mins
b431d4e7-2341-11ee-b95b-3c9c0f728f90,Flagship 108MP Triple Camera Setup 8MP Ultrawide-FOV 119 degrees 5MP Super Macro Sensor Slow Motion Support
b431d4e8-2341-11ee-a1de-3c9c0f728f90,Up to 1080p@960 fps Portrait
b431d4e9-2341-11ee-8f98-3c9c0f728f90,Panaroma
b431d4ea-2341-11ee-a600-3c9c0f728f90,Dual Mode
b431d4eb-2341-11ee-bd3d-3c9c0f728f90,Vlog Mode
b431d4ec-2341-11ee-a710-3c9c0f728f90,Clone Mode
b431d4ed-2341-11ee-9d72-3c9c0f728f90,Time Lapse
b431d4ee-2341-11ee-86d5-3c9c0f728f90,Long Exposure
b431d4ef-2341-11ee-98a4-3c9c0f728f90,Pro Mode
b431d4f0-2341-11ee-ab64-3c9c0f728f90,Short Video Mode
b431d4f1-2341-11ee-9e1f-3c9c0f728f90,Ultra wide-angle distortion correction
b431d4f2-2341-11ee-bcbc-3c9c0f728f90,Custom Watermark
b431d4f3-2341-11ee-944e-3c9c0f728f90,Document mode
b431d4f4-2341-11ee-bf76-3c9c0f728f90,AI scene detection
b431d4f5-2341-11ee-bc7d-3c9c0f728f90,Macro and Ultrawide video mode
b431d4f6-2341-11ee-9f21-3c9c0f728f90,Movie effects
b431d4f7-2341-11ee-9b94-3c9c0f728f90,Time burst
b431d4f8-2341-11ee-87a5-3c9c0f728f90,Google Lens
b431d4f9-2341-11ee-bce1-3c9c0f728f90,AI Watermark
b431d4fa-2341-11ee-9915-3c9c0f728f90,Pro Colour
b431d4fb-2341-11ee-85e6-3c9c0f728f90,Wired and wireless Hi-Res certified audio
b431d4fc-2341-11ee-aba8-3c9c0f728f90,triple mic setup.NavIC support
b431d4fd-2341-11ee-9f1a-3c9c0f728f90,E-mail
b431d4fe-2341-11ee-8bea-3c9c0f728f90,G-sensor
b431d4ff-2341-11ee-99d1-3c9c0f728f90,E-compass and Gyroscope sensor
b431d500-2341-11ee-afd6-3c9c0f728f90,Knox 3.7 with Secure Folder
b431d501-2341-11ee-85f2-3c9c0f728f90,Knox 3.7
b431d502-2341-11ee-a2a6-3c9c0f728f90,4500mAH lithium-ion battery (non-removable)
b431d503-2341-11ee-9807-3c9c0f728f90,Main camera features: Clear
b431d504-2341-11ee-80f2-3c9c0f728f90,high-resolution photos
b431d505-2341-11ee-b627-3c9c0f728f90,and filters.
b431d506-2341-11ee-a077-3c9c0f728f90,In-display fingerprint sensor.
b431d507-2341-11ee-a4b9-3c9c0f728f90,Front camera features
b431d508-2341-11ee-a097-3c9c0f728f90,Thickness: 7.9mm
b431d509-2341-11ee-9f65-3c9c0f728f90,slimmest OnePlus phone since the OnePlus 6T. Weight: 170g
b431d50a-2341-11ee-92bb-3c9c0f728f90,Audio Share 2.0
b431d50b-2341-11ee-b694-3c9c0f728f90,Camera 13MP +2MP +2MP
b431d50c-2341-11ee-abab-3c9c0f728f90,Under-screen fingerprint sensor
b431d50d-2341-11ee-918b-3c9c0f728f90,Opto-sensor
b431d50e-2341-11ee-bc3f-3c9c0f728f90,In-display fingerprint sensor
b431d50f-2341-11ee-9423-3c9c0f728f90,triple mic setup. NavIC support
b431d510-2341-11ee-aa92-3c9c0f728f90,48MP AI Triple Camera Setup with Sony IMX 582 Primary sensor 8MP Ultrawide-FOV 119 degrees 5MP Super Macro Sensor Slow Motion Support
b431d511-2341-11ee-b46e-3c9c0f728f90, 16.95x 0.95x7.63
b431d512-2341-11ee-bb00-3c9c0f728f90,Other display features
b431d513-2341-11ee-b450-3c9c0f728f90,Other Camera Features
b431d514-2341-11ee-bf83-3c9c0f728f90, Single Take (Rear and Front)
b431d515-2341-11ee-b517-3c9c0f728f90,Single Take (Rear and Front) Dimensions
b431d516-2341-11ee-82da-3c9c0f728f90,67% in 30 mins
b431d517-2341-11ee-883c-3c9c0f728f90,3.5mm Jack
b431d518-2341-11ee-b38c-3c9c0f728f90,Z-Axis Linear Vibration Motor
b431d519-2341-11ee-a3f8-3c9c0f728f90,48 MP AI Quad Camera Setup 8MP Ultrawide-FOV 118 degrees 2 MP Macro Sensor 2 MP Depth Sensor Slow Motion Support
b431d51a-2341-11ee-a056-3c9c0f728f90,Up to 960 fps Portrait
b431d51b-2341-11ee-9026-3c9c0f728f90,Video macro mode
b431d51c-2341-11ee-9f5c-3c9c0f728f90,Movie frame
b431d51d-2341-11ee-937c-3c9c0f728f90,Google Lens| AI Watermark
b431d51e-2341-11ee-a7ab-3c9c0f728f90,Gyro-meter
b431d51f-2341-11ee-a131-3c9c0f728f90,64MP AI Quad Camera Setup 8MP Ultrawide-FOV 118 degrees 5MP Macro Sensor 2 MP Depth Sensor Slow Motion Support
b431d520-2341-11ee-bf60-3c9c0f728f90,49% in 30 mins
b431d521-2341-11ee-9206-3c9c0f728f90,Flagship 108MP Main Camera 8MP Ultrawide-FOV 118 degrees 5MP Macro Sensor 2MP Depth Sensor Slow Motion Support
b431d522-2341-11ee-83ef-3c9c0f728f90,20:9 aspect ratio
b431d523-2341-11ee-83ae-3c9c0f728f90,Battery power rating: 6000 mAh
b431d524-2341-11ee-a58b-3c9c0f728f90,Dimensions: 16.95x 0.95x7.63
b431d525-2341-11ee-8bcd-3c9c0f728f90,Other display features: 20:9 aspect ratio
b431d526-2341-11ee-a60a-3c9c0f728f90,Other Camera Features: Single Take (Rear and Front)
b431d527-2341-11ee-8bcb-3c9c0f728f90,Single Take (Rear and Front) Dimensions: 16.95x 0.95x7.63
b431d528-2341-11ee-be76-3c9c0f728f90,Flicker-detect sensor
b431d529-2341-11ee-92bf-3c9c0f728f90,In-display Fingerprint sensor
b431d52a-2341-11ee-b3ed-3c9c0f728f90,sensor Core
b431d52b-2341-11ee-aed0-3c9c0f728f90,Text/Messaging
b431d52c-2341-11ee-9073-3c9c0f728f90,Camera : Rear camera and front camera available
b431d52d-2341-11ee-b914-3c9c0f728f90,Triple 13 Mpix Rear Camera With Flash + Front 13 MP camera
b431fb71-2341-11ee-8452-3c9c0f728f90,6.53‘’ HDFull Screen Touch Display
b431fb72-2341-11ee-bdfd-3c9c0f728f90,4 GB RAM + 64 GB internal Memory
b431fb73-2341-11ee-bbfd-3c9c0f728f90,5000 mAh non-removable battery
b431fb74-2341-11ee-a3da-3c9c0f728f90,Android 8.1 with 1.3 GHz Quad Core Processor
b431fb75-2341-11ee-a9f5-3c9c0f728f90,E-compass
b431fb76-2341-11ee-8050-3c9c0f728f90,"Virtual Gyroscope,Fingerprint"
b431fb77-2341-11ee-99b4-3c9c0f728f90,Dual SIM+SD Card Slot (Expandable up to 256GB)
b431fb78-2341-11ee-aed6-3c9c0f728f90,On-Display Fingerprint sensor
b431fb79-2341-11ee-a609-3c9c0f728f90,Samsung Pay (NFC) Enabled
b431fb7a-2341-11ee-92fb-3c9c0f728f90,Camera features: Single Take
b431fb7b-2341-11ee-bc86-3c9c0f728f90,Quad-Core Processor
b431fb7c-2341-11ee-9352-3c9c0f728f90,54% in 30 mins
b431fb7d-2341-11ee-928d-3c9c0f728f90,64 MP AI Quad Camera Setup 8MP Ultrawide-FOV 118 degrees 2 MP Macro Sensor 2 MP Depth Sensor Slow Motion Support
b431fb7e-2341-11ee-bfa8-3c9c0f728f90,Dual Stereo Speakers for immersive audio experience. Hi-Res certified audio
b431fb7f-2341-11ee-9a48-3c9c0f728f90,Memoria ampliablemicro SD 1 TB ProcesadorOcta Core ProcesadorQualcomm Snapdragon 855 (1x2.8Ghz + 3x2.4Ghz + 4x 1.7 Ghz) Sistema OperativoAndroid Versión S.O.10
b431fb80-2341-11ee-afde-3c9c0f728f90,Design: Polycarbonate Unibody
b431fb81-2341-11ee-8657-3c9c0f728f90,Bluetooth 5.0 + LE (HD Codecs: AptX
b431fb82-2341-11ee-9cff-3c9c0f728f90,AptX-HD
b431fb83-2341-11ee-81bc-3c9c0f728f90,LDAC)
b431fb84-2341-11ee-9ad5-3c9c0f728f90,Ports: USB-C
b431fb85-2341-11ee-bbd5-3c9c0f728f90,Network: 3xCA
b431fb86-2341-11ee-b696-3c9c0f728f90,DL 4 x 2/2 x 2 MIMO
b431fb87-2341-11ee-aa7f-3c9c0f728f90,Hearing Aid Compatibility: M3/T3 HAC Rating
b431fb88-2341-11ee-b756-3c9c0f728f90,Google's Devices Meet the Hearing Aid Compatibility (HAC) Requirements Set by the FCC
b431fb89-2341-11ee-9ae2-3c9c0f728f90,Built-in Google Assistant
b431fb8a-2341-11ee-ad0d-3c9c0f728f90,64-bit Octa-core Processo
b431fb8b-2341-11ee-a8e1-3c9c0f728f90,Camera: Front Camera & Rear Camera
b431fb8c-2341-11ee-94bd-3c9c0f728f90,perfect camera & an in-built safety app
